Time,Timestamp,Pulse rate [bpm],spo2,ppg,strength,IBI,SDNN,SDSD,RMSSD,pNN20,pNN50
2022-08-03 15:21:48.918,1659511308.9181273,N,84,99,16,2,0,0,0,0,0,0
2022-08-03 15:21:48.933,1659511308.9336622,N,84,99,24,3,0,0,0,0,0,0
2022-08-03 15:21:48.952,1659511308.9520507,N,84,99,30,4,0,0,0,0,0,0
2022-08-03 15:21:48.969,1659511308.9697273,N,84,99,34,4,0,0,0,0,0,0
2022-08-03 15:21:48.983,1659511308.983528,N,84,99,36,4,0,0,0,0,0,0
2022-08-03 15:21:49.002,1659511309.0020828,N,84,99,36,4,0,0,0,0,0,0
2022-08-03 15:21:49.017,1659511309.017923,N,84,99,35,4,0,0,0,0,0,0
2022-08-03 15:21:49.034,1659511309.0344138,N,84,99,33,4,0,0,0,0,0,0
2022-08-03 15:21:49.052,1659511309.0527122,N,84,99,31,3,0,0,0,0,0,0
2022-08-03 15:21:49.069,1659511309.0690563,N,84,99,29,3,0,0,0,0,0,0
2022-08-03 15:21:49.086,1659511309.0862696,N,84,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:49.101,1659511309.101795,N,84,99,24,2,0,0,0,0,0,0
2022-08-03 15:21:49.117,1659511309.117461,N,84,99,22,2,0,0,0,0,0,0
2022-08-03 15:21:49.135,1659511309.1352806,N,84,99,20,2,0,0,0,0,0,0
2022-08-03 15:21:49.150,1659511309.1508622,N,84,99,19,2,0,0,0,0,0,0
2022-08-03 15:21:49.167,1659511309.1678045,N,84,99,19,2,0,0,0,0,0,0
